PC1,PC2,type
-3.205996171099246,0.4165233248422416,0
-3.0390508136577603,1.107462126476801,0
-3.071893473467079,0.878964435856904,0
-1.5712621359591692,2.1125445517917902,0
-3.205996171099246,0.4165233248422416,0
-3.0121656615551307,0.38939749980613836,0
-2.150704123722587,0.3236062151786437,0
-2.7111821098178552,-0.6534108523357114,0
-2.945264073658268,0.3315111678733386,0
-1.6603425907193923,1.1647692580168345,0
-2.133612658741569,0.40137872572768146,0
-1.6603425907193923,1.1647692580168345,0
-2.4786049093744604,-0.9522613868072864,0
-4.7995509233009805,2.6971220878960915,0
-1.9964132238311934,3.330367962321706,0
-2.039813434037656,3.351228131062153,0
-0.9865489588084354,1.293479848819771,0
-5.694432613194228,4.6792902870697795,0
-2.596108178091467,0.8010636039957457,0
-4.108133940074779,4.3828098669590245,0
-0.9855069116669358,1.0665498832513434,0
-1.8351697997426204,0.8928114260666158,0
-2.9424020184422464,1.3759839664380082,0
-2.071928859194021,0.9295199113229194,0
-2.0581837935343055,0.27062999973244223,0
-2.008288782254074,-0.1482581010557686,0
-2.4605159356069817,0.44026503727436084,0
-2.9424020184422464,1.3759839664380082,0
-3.0423574913697227,0.30455146360269303,0
-3.3201585655068984,0.2380323632700039,0
-2.2328121969012975,0.022272945110645176,0
-3.023659399983287,-0.012426707513168225,0
-2.1452388626722803,1.0669702176449116,0
-0.8387162768874133,1.4455837074221685,0
-1.4580610517013275,-0.059314543799276365,0
-3.117639229836825,0.9432514771861424,0
-3.383226784888362,0.2228499729099528,0
-2.1567350611496727,0.827399015212025,0
-4.650601073500695,0.20331252193855281,0
-1.8301030353373517,1.1049201445334855,0
-1.8301030353373517,1.1049201445334855,0
-2.275069342870102,1.4851900251554337,0
-5.190712659136593,2.959369395657137,0
-4.120183882865634,1.2623025805192398,0
-3.00615916483719,-0.40919632697514735,0
-2.520074561048058,-3.0756356659526984,0
-2.6422730586647827,2.128754829261376,0
-1.9112413375025321,1.5014291191966531,0
-2.082057044275929,-0.08286480484074399,0
-0.7724476882081199,0.005347679270587102,0
-3.1993150142872446,1.5245520170414424,0
